population,average_age,average_health,average_stress,average_bank_balance,average_debt,gini_coefficient,unemployment_rate,average_education,hospital_strain,death_toll,average_life_expectancy,seir_susceptible,seir_exposed,seir_infected,seir_recovered,infant_mortality,tick,government_capital,private_capital,dependency_ratio,total_wealth_inherited,total_wealth_escheated
155,34.35141749445209,71.23249915157501,4.087479711647017,8231.78038577348,131.3480304198123,0.5086145289791411,0.0,0.5382256372660047,0.0,3,49.08087762503673,151,0,0,4,26.0,64,-24045.99063369754,764657.6391854145,0.6847826086956522,3276.366166816633,1037.1459125989745
155,34.43475082778542,71.64228375029458,4.068524506014521,8299.118125577215,130.33533422338976,0.5097713721910644,0.0,0.5392578953305208,0.0,3,49.08087762503673,151,0,0,4,26.0,65,-26575.110966979362,771512.8827731777,0.6847826086956522,3276.366166816633,1037.1459125989745
155,34.51808416111876,71.36992059451426,4.053148530338379,8367.666023261389,129.32435599496827,0.5108034483435555,0.0,0.5402901533950369,0.0,3,49.08087762503673,151,0,0,4,26.0,66,-28163.248190835187,777485.637218487,0.6666666666666666,3276.366166816633,1037.1459125989745
155,34.60141749445209,71.3666344128032,4.0400138326492705,8437.659558354468,128.54830431562482,0.5117202100480305,0.0,0.5413224114595531,0.0,3,49.08087762503673,151,0,0,4,26.0,67,-30329.62668766735,783608.2887753731,0.648936170212766,3276.366166816633,1037.1459125989745
155,34.68475082778542,71.5076108546578,4.028647630355106,8507.829719347681,127.7105087269367,0.5082100138315482,0.0,0.5423546695240692,0.0,3,49.08087762503673,151,0,0,4,26.0,68,-32406.65232288273,790136.6217047919,0.631578947368421,3276.366166816633,1037.1459125989745
155,34.76808416111876,71.50432467294674,4.017612268734888,8578.22816777799,126.91153657893709,0.5047664647448422,0.0,0.5433869275885853,0.0,3,49.08087762503673,151,0,0,4,26.0,69,-34553.654618080465,796478.4344593147,0.631578947368421,3276.366166816633,1037.1459125989745
155,34.85141749445209,71.23153140963953,4.007887681933667,8649.13400435407,126.43008275965481,0.5013820666473903,0.0,0.5444191856531014,0.0,3,49.08087762503673,151,0,0,4,26.0,70,-36054.29605093194,802979.870740619,0.631578947368421,3276.366166816633,1037.1459125989745
155,34.93475082778542,71.64228375029458,3.729295894617162,8719.575406910364,112.89336184993017,0.4981311424050079,0.0,0.5453224114595531,0.0,3,49.08087762503673,151,0,0,4,26.0,71,-38583.11830703233,810170.1691906429,0.631578947368421,3276.366166816633,1037.1459125989745
155,35.01808416111876,71.36927543322393,3.9542658595786127,8790.050187722163,112.29895796943907,0.49495019084525627,0.0,0.5462256372660047,0.0,3,49.08087762503673,151,0,0,4,26.0,72,-40339.85720575193,815753.9645530568,0.648936170212766,3276.366166816633,1037.1459125989745
155,35.10141749445209,71.36598925151287,3.985787823499555,8860.706358918605,111.69598330660175,0.49183151907582956,0.0,0.5471288630724563,0.0,3,49.08087762503673,151,0,0,4,26.0,73,-42457.78615164526,822526.3058035774,0.648936170212766,3276.366166816633,1037.1459125989745
155,35.18475082778542,71.50728827401264,3.9800833492144023,8931.544638503294,111.08435315561329,0.48877632950439587,0.0,0.5481611211369724,0.0,3,49.08087762503673,151,0,0,4,26.0,74,-44404.238188666,830166.2928969609,0.648936170212766,3276.366166816633,1037.1459125989745
155,35.26808416111876,71.50400209230156,3.7047444694266582,9001.792020372073,110.46398206067332,0.48581964965003355,0.0,0.5491933792014886,0.0,3,49.08087762503673,151,0,0,4,26.0,75,-46246.44242702421,838096.7921916421,0.648936170212766,3276.366166816633,1037.1459125989745
155,35.35141749445209,71.23056366770406,3.9702732095257716,9072.068810465387,109.8347838096305,0.4829228783805999,0.0,0.5502256372660047,0.0,3,49.08087762503673,151,0,0,4,26.0,76,-47593.372457617465,845318.388958075,0.6666666666666666,3276.366166816633,1037.1459125989745
155,35.43475082778542,71.64228375029458,3.6957719593163683,9141.856305399066,109.19667142757436,0.4801010624476081,0.0,0.5509998308143917,0.0,3,49.08087762503673,151,0,0,4,26.0,77,-50036.43525278667,853161.1919025875,0.6666666666666666,3276.366166816633,1037.1459125989745
155,35.51808416111876,71.36863027193361,3.9619796232345674,9213.036983558524,108.60202916814967,0.4819005108565442,0.0,0.5517740243627789,0.0,3,49.08087762503673,151,0,0,4,26.0,78,-51422.01971094273,860220.2813062241,0.6847826086956522,3276.366166816633,1037.1459125989745
155,35.60141749445209,71.36534409022255,3.959084399344136,9284.356854763122,107.8933525181615,0.4790247907274465,0.0,0.552548217911166,0.0,3,49.08087762503673,151,0,0,4,26.0,79,-53306.761028699766,868070.6473906852,0.6666666666666666,3276.366166816633,1037.1459125989745
155,35.68475082778542,71.50696569336748,3.9553326692422965,9358.647615942846,107.6627338580375,0.48523249277141844,0.0,0.5533224114595531,0.0,3,49.08087762503673,151,0,0,4,26.0,80,-55232.41233914147,875503.0651126219,0.6666666666666666,3276.366166816633,1037.1459125989745
