population,average_age,average_health,average_stress,average_bank_balance,average_debt,gini_coefficient,unemployment_rate,average_education,hospital_strain,death_toll,average_life_expectancy,tick,government_capital,private_capital
118,34.51016674983819,55.817591818603404,48.103568657968076,901.5005027431753,381.66572392799196,0.7890145727247826,0.6172839506172839,0.30648255045385836,0.0,32,31.82535178452874,75,29597.54638473475,6636.845903762398
118,34.51290647586559,56.87048947241905,47.816227612604244,911.7661094141831,392.33650688442646,0.7906658688605823,0.6419753086419753,0.30648255045385836,0.0,32,31.82535178452874,76,30046.607621988303,6844.299286713835
118,34.515646201892984,54.81738490623657,49.02264839370618,922.9842820809001,400.44987181906845,0.7916919880768454,0.6296296296296297,0.30648255045385836,0.0,32,31.82535178452874,77,30481.161419414097,6683.913650858797
117,34.54805599575116,57.22140595625667,47.43853536590637,942.8050675492523,417.50387014105263,0.7912582206314951,0.6125,0.30708590283222736,0.0,33,31.801765002928455,78,30974.658520994908,7079.797901356652
117,34.55079572177856,56.69073620795844,48.09580994898164,954.8640174260509,426.0753668917642,0.7919375544903391,0.6,0.30708590283222736,0.0,33,31.801765002928455,79,31462.404596315235,6909.017300647689
117,34.553535447805956,56.92736281232961,47.90050624842851,967.6755896217364,438.55640721541675,0.7917944961431933,0.625,0.30708590283222736,0.0,33,31.801765002928455,80,31966.574748001123,7025.060462525904
117,34.556275173833356,55.72887816213285,48.851375664364234,979.1521136569042,445.7061044650521,0.7929265191807149,0.6125,0.30708590283222736,0.0,33,31.801765002928455,81,32448.326568416018,6726.177063315588
117,34.559014899860756,55.73013162049848,48.98701616295372,989.4050045492122,455.53430445796596,0.7947514580567443,0.625,0.30708590283222736,0.0,33,31.801765002928455,82,32941.101890687016,6822.747634741417
117,34.561754625888156,54.80236763122851,49.92116871590744,1002.5829761697689,464.894235849768,0.794634946945614,0.6125,0.30708590283222736,0.0,33,31.801765002928455,83,33419.798364628514,6548.47593017115
117,34.564494351915556,55.06589475753656,49.56287351538611,1014.7362542543295,476.0258841193047,0.7950835839366777,0.6125,0.30708590283222736,0.0,33,31.801765002928455,84,33911.02387507346,6657.011755630164
117,34.56723407794295,54.90357675070854,49.8506603032132,1025.5478698055106,485.8913796809708,0.7964760990904409,0.6375,0.30708590283222736,0.0,33,31.801765002928455,85,34401.525518371505,6656.97065538097
117,34.56997380397035,56.398303611371624,49.21811860678967,1037.0677317336422,499.1573849501497,0.7975028400856756,0.6125,0.30708590283222736,0.0,33,31.801765002928455,86,34938.17568123734,7017.815610137383
116,34.67648113090315,55.709416221848656,50.179179337126996,1056.732551833121,511.17064552225185,0.7969036325745735,0.65,0.3050573216203331,0.0,34,31.529232850635594,87,35445.55951171419,6754.059154978544
116,34.67922085693055,55.29919228169402,50.38422092178187,1068.0957763805702,520.3470888364399,0.7976264142243066,0.625,0.3050573216203331,0.0,34,31.529232850635594,88,35938.60364304096,6641.696654343955
116,34.68196058295795,55.222548553405844,50.01651002271935,1080.8152183790537,530.5094023852131,0.7974736502987436,0.6,0.3050573216203331,0.0,34,31.529232850635594,89,36429.542045132635,6585.816067044137
116,34.68470030898534,56.112304833340076,50.07793115838884,1091.271715440046,541.3509692614118,0.7987428861723087,0.6375,0.3050573216203331,0.0,34,31.529232850635594,90,36937.78529091275,6748.704373273097
116,34.68744003501275,54.58463488712455,51.57516593563208,1102.956609506229,550.1625780379485,0.7989018167770792,0.65,0.3050573216203331,0.0,34,31.529232850635594,91,37435.202896012444,6596.77272142053
116,34.69017976104014,54.1480154078746,52.34576826856493,1113.0516514526569,559.2731219357445,0.7999897238284011,0.65,0.3050573216203331,0.0,34,31.529232850635594,92,37933.677424499765,6656.820024342557
116,34.69291948706754,55.16171601797867,51.844213998303914,1124.0677456768276,570.8851676577253,0.800152637076319,0.65,0.3050573216203331,0.0,34,31.529232850635594,93,38454.70318403595,6816.072505417773
116,34.69565921309494,54.172004646914054,52.62486767638286,1135.7136610317423,580.214169493258,0.8005219517589914,0.6125,0.3050573216203331,0.0,34,31.529232850635594,94,38967.22505151611,6734.765094308892
116,34.69839893912234,53.96544599218158,52.51709848415228,1146.273189997941,589.3808658721666,0.8006632472056323,0.625,0.3050573216203331,0.0,34,31.529232850635594,95,39473.29341614585,6766.82459004857
115,34.815974136675024,53.25858247073461,52.62919599191271,1168.1752459405554,602.6557703557897,0.799233522475675,0.6125,0.301755512852358,0.0,35,31.242542181752906,96,39957.953628210205,6522.515821408938
